#,,,,,,,,
agency_cd,site_no,datetime,timezone,Gage Height [ft],Discharge [cfs],Temperature [degrees C],Turbidity [FNU],Flooding
USGS,14206950,11/3/2015 6:00,PST,2.47,36.4,12.4,13.8,0
USGS,14206950,11/3/2015 6:15,PST,2.47,36.4,,,0
USGS,14206950,11/3/2015 6:30,PST,2.46,35.7,,,0
USGS,14206950,11/3/2015 6:45,PST,2.45,35.1,,,0
USGS,14206950,11/3/2015 7:00,PST,2.44,34.4,12.2,13.4,0
USGS,14206950,11/3/2015 7:15,PST,2.43,33.8,,,0
USGS,14206950,11/3/2015 7:30,PST,2.42,33.1,,,0
USGS,14206950,11/3/2015 7:45,PST,2.41,32.5,,,0
USGS,14206950,11/3/2015 8:00,PST,2.4,31.9,12.1,13,0
USGS,14206950,11/3/2015 8:15,PST,2.4,31.9,,,0
USGS,14206950,11/3/2015 8:30,PST,2.39,31.3,,,0
USGS,14206950,11/3/2015 8:45,PST,2.38,30.7,,,0
USGS,14206950,11/3/2015 9:00,PST,2.38,30.7,12,12.4,0
USGS,14206950,11/3/2015 9:15,PST,2.37,30,,,0
USGS,14206950,11/3/2015 9:30,PST,2.36,29.4,,,0
USGS,14206950,11/3/2015 9:45,PST,2.35,28.8,,,0
USGS,14206950,11/3/2015 10:00,PST,2.35,28.8,12,11.9,0
USGS,14206950,11/3/2015 10:15,PST,2.34,28.3,,,0
USGS,14206950,11/3/2015 10:30,PST,2.33,27.7,,,0
USGS,14206950,11/3/2015 10:45,PST,2.33,27.7,,,0
USGS,14206950,11/3/2015 11:00,PST,2.33,27.7,12,11.5,0
USGS,14206950,11/3/2015 11:15,PST,2.32,27.1,,,0
USGS,14206950,11/3/2015 11:30,PST,2.32,27.1,,,0
USGS,14206950,11/3/2015 11:45,PST,2.31,26.5,,,0
USGS,14206950,11/3/2015 12:00,PST,2.31,26.5,12,11.1,0
USGS,14206950,11/3/2015 12:15,PST,2.31,26.5,,,0
USGS,14206950,11/3/2015 12:30,PST,2.31,26.5,,,0
USGS,14206950,11/3/2015 12:45,PST,2.3,26,,,0
USGS,14206950,11/3/2015 13:00,PST,2.31,26.5,12.1,10.7,0
USGS,14206950,11/3/2015 13:15,PST,2.3,26,,,0
USGS,14206950,11/3/2015 13:30,PST,2.3,26,,,0
USGS,14206950,11/3/2015 13:45,PST,2.3,26,,,0
USGS,14206950,11/3/2015 14:00,PST,2.29,25.4,12.2,10.7,0
USGS,14206950,11/3/2015 14:15,PST,2.28,24.8,,,0
USGS,14206950,11/3/2015 14:30,PST,2.28,24.8,,,0
USGS,14206950,11/3/2015 14:45,PST,2.28,24.8,,,0
USGS,14206950,11/3/2015 15:00,PST,2.27,24.3,12.2,10.3,0
USGS,14206950,11/3/2015 15:15,PST,2.26,23.7,,,0
USGS,14206950,11/3/2015 15:30,PST,2.26,23.7,,,0
USGS,14206950,11/3/2015 15:45,PST,2.26,23.7,,,0
USGS,14206950,11/3/2015 16:00,PST,2.26,23.7,12.1,10,0
USGS,14206950,11/3/2015 16:15,PST,2.25,23.2,,,0
USGS,14206950,11/3/2015 16:30,PST,2.25,23.2,,,0
USGS,14206950,11/3/2015 16:45,PST,2.25,23.2,,,0
USGS,14206950,11/3/2015 17:00,PST,2.24,22.6,12,10.5,0
USGS,14206950,11/3/2015 17:15,PST,2.24,22.6,,,0
USGS,14206950,11/3/2015 17:30,PST,2.23,22.1,,,0
USGS,14206950,11/3/2015 17:45,PST,2.23,22.1,,,0
USGS,14206950,11/3/2015 18:00,PST,2.23,22.1,11.9,10.6,0
USGS,14206950,11/3/2015 18:15,PST,2.23,22.1,,,0
USGS,14206950,11/3/2015 18:30,PST,2.22,21.6,,,0
USGS,14206950,11/3/2015 18:45,PST,2.22,21.6,,,0
USGS,14206950,11/3/2015 19:00,PST,2.22,21.6,11.7,10.5,0
USGS,14206950,11/3/2015 19:15,PST,2.22,21.6,,,0
USGS,14206950,11/3/2015 19:30,PST,2.21,21,,,0
USGS,14206950,11/3/2015 19:45,PST,2.21,21,,,0
USGS,14206950,11/3/2015 20:00,PST,2.21,21,11.6,10.5,0
USGS,14206950,11/3/2015 20:15,PST,2.21,21,,,0
USGS,14206950,11/3/2015 20:30,PST,2.21,21,,,0
USGS,14206950,11/3/2015 20:45,PST,2.21,21,,,0
USGS,14206950,11/3/2015 21:00,PST,2.21,21,11.5,10.2,0
USGS,14206950,11/3/2015 21:15,PST,2.2,20.5,,,0
USGS,14206950,11/3/2015 21:30,PST,2.2,20.5,,,0
USGS,14206950,11/3/2015 21:45,PST,2.21,21,,,0
USGS,14206950,11/3/2015 22:00,PST,2.21,21,11.3,9.9,0
USGS,14206950,11/3/2015 22:15,PST,2.2,20.5,,,0
USGS,14206950,11/3/2015 22:30,PST,2.21,21,,,0
USGS,14206950,11/3/2015 22:45,PST,2.21,21,,,0
USGS,14206950,11/3/2015 23:00,PST,2.21,21,11.2,9.7,0
USGS,14206950,11/3/2015 23:15,PST,2.21,21,,,0
USGS,14206950,11/3/2015 23:30,PST,2.21,21,,,0
USGS,14206950,11/3/2015 23:45,PST,2.22,21.6,,,0
USGS,14206950,11/4/2015 0:00,PST,2.22,21.6,11,9.3,0
USGS,14206950,11/4/2015 0:15,PST,2.22,21.6,,,0
USGS,14206950,11/4/2015 0:30,PST,2.22,21.6,,,0
USGS,14206950,11/4/2015 0:45,PST,2.22,21.6,,,0
USGS,14206950,11/4/2015 1:00,PST,2.22,21.6,10.9,9.5,0
USGS,14206950,11/4/2015 1:15,PST,2.22,21.6,,,0
USGS,14206950,11/4/2015 1:30,PST,2.22,21.6,,,0
USGS,14206950,11/4/2015 1:45,PST,2.22,21.6,,,0
USGS,14206950,11/4/2015 2:00,PST,2.22,21.6,10.7,9.5,0
USGS,14206950,11/4/2015 2:15,PST,2.22,21.6,,,0
USGS,14206950,11/4/2015 2:30,PST,2.22,21.6,,,0
USGS,14206950,11/4/2015 2:45,PST,2.22,21.6,,,0
USGS,14206950,11/4/2015 3:00,PST,2.21,21,10.6,9.4,0
USGS,14206950,11/4/2015 3:15,PST,2.21,21,,,0
USGS,14206950,11/4/2015 3:30,PST,2.21,21,,,0
USGS,14206950,11/4/2015 3:45,PST,2.21,21,,,0
USGS,14206950,11/4/2015 4:00,PST,2.21,21,10.4,9.5,0
USGS,14206950,11/4/2015 4:15,PST,2.2,20.5,,,0
USGS,14206950,11/4/2015 4:30,PST,2.2,20.5,,,0
USGS,14206950,11/4/2015 4:45,PST,2.19,20,,,0
USGS,14206950,11/4/2015 5:00,PST,2.19,20,10.3,9.8,0
USGS,14206950,11/4/2015 5:15,PST,2.19,20,,,0
USGS,14206950,11/4/2015 5:30,PST,2.19,20,,,0
USGS,14206950,11/4/2015 5:45,PST,2.18,19.5,,,0
USGS,14206950,11/4/2015 6:00,PST,2.18,19.5,10.2,9.2,0
USGS,14206950,11/4/2015 6:15,PST,2.18,19.5,,,0
USGS,14206950,11/4/2015 6:30,PST,2.18,19.5,,,0
USGS,14206950,11/4/2015 6:45,PST,2.17,19,,,0
USGS,14206950,11/4/2015 7:00,PST,2.17,19,10.2,9.4,0
USGS,14206950,11/4/2015 7:15,PST,2.16,18.5,,,0
USGS,14206950,11/4/2015 7:30,PST,2.16,18.5,,,0
USGS,14206950,11/4/2015 7:45,PST,2.16,18.5,,,0
USGS,14206950,11/4/2015 8:00,PST,2.16,18.5,10.2,9.7,0
USGS,14206950,11/4/2015 8:15,PST,2.15,18,,,0
USGS,14206950,11/4/2015 8:30,PST,2.15,18,,,0
USGS,14206950,11/4/2015 8:45,PST,2.15,18,,,0
USGS,14206950,11/4/2015 9:00,PST,2.15,18,10.2,9,0
USGS,14206950,11/4/2015 9:15,PST,2.14,17.5,,,0
USGS,14206950,11/4/2015 9:30,PST,2.14,17.5,,,0
USGS,14206950,11/4/2015 9:45,PST,2.14,17.5,,,0
USGS,14206950,11/4/2015 10:00,PST,2.14,17.5,10.2,8.9,0
USGS,14206950,11/4/2015 10:15,PST,2.13,17.1,,,0
USGS,14206950,11/4/2015 10:30,PST,2.14,17.5,,,0
USGS,14206950,11/4/2015 10:45,PST,2.13,17.1,,,0
USGS,14206950,11/4/2015 11:00,PST,2.13,17.1,10.3,8.8,0
USGS,14206950,11/4/2015 11:15,PST,2.13,17.1,,,0
USGS,14206950,11/4/2015 11:30,PST,2.13,17.1,,,0
USGS,14206950,11/4/2015 11:45,PST,2.13,17.1,,,0
USGS,14206950,11/4/2015 12:00,PST,2.12,16.6,10.4,8.5,0
USGS,14206950,11/4/2015 12:15,PST,2.12,16.6,,,0
USGS,14206950,11/4/2015 12:30,PST,2.12,16.6,,,0
USGS,14206950,11/4/2015 12:45,PST,2.12,16.6,,,0
USGS,14206950,11/4/2015 13:00,PST,2.12,16.6,10.5,8.3,0
USGS,14206950,11/4/2015 13:15,PST,2.11,16.2,,,0
USGS,14206950,11/4/2015 13:30,PST,2.12,16.6,,,0
USGS,14206950,11/4/2015 13:45,PST,2.11,16.2,,,0
USGS,14206950,11/4/2015 14:00,PST,2.11,16.2,10.6,8,0
USGS,14206950,11/4/2015 14:15,PST,2.11,16.2,,,0
USGS,14206950,11/4/2015 14:30,PST,2.11,16.2,,,0
USGS,14206950,11/4/2015 14:45,PST,2.11,16.2,,,0
USGS,14206950,11/4/2015 15:00,PST,2.11,16.2,10.6,8,0
USGS,14206950,11/4/2015 15:15,PST,2.1,15.7,,,0
USGS,14206950,11/4/2015 15:30,PST,2.1,15.7,,,0
USGS,14206950,11/4/2015 15:45,PST,2.1,15.7,,,0
USGS,14206950,11/4/2015 16:00,PST,2.1,15.7,10.7,7.2,0
USGS,14206950,11/4/2015 16:15,PST,2.1,15.7,,,0
USGS,14206950,11/4/2015 16:30,PST,2.1,15.7,,,0
USGS,14206950,11/4/2015 16:45,PST,2.1,15.7,,,0
USGS,14206950,11/4/2015 17:00,PST,2.1,15.7,10.8,7.2,0
USGS,14206950,11/4/2015 17:15,PST,2.1,15.7,,,0
USGS,14206950,11/4/2015 17:30,PST,2.1,15.7,,,0
USGS,14206950,11/4/2015 17:45,PST,2.1,15.7,,,0
USGS,14206950,11/4/2015 18:00,PST,2.11,16.2,10.8,7.4,0
USGS,14206950,11/4/2015 18:15,PST,2.11,16.2,,,0
USGS,14206950,11/4/2015 18:30,PST,2.11,16.2,,,0
USGS,14206950,11/4/2015 18:45,PST,2.11,16.2,,,0
USGS,14206950,11/4/2015 19:00,PST,2.12,16.6,10.7,7,0
USGS,14206950,11/4/2015 19:15,PST,2.12,16.6,,,0
USGS,14206950,11/4/2015 19:30,PST,2.13,17.1,,,0
USGS,14206950,11/4/2015 19:45,PST,2.13,17.1,,,0
USGS,14206950,11/4/2015 20:00,PST,2.13,17.1,10.7,7.2,0
USGS,14206950,11/4/2015 20:15,PST,2.13,17.1,,,0
USGS,14206950,11/4/2015 20:30,PST,2.13,17.1,,,0
USGS,14206950,11/4/2015 20:45,PST,2.13,17.1,,,0
USGS,14206950,11/4/2015 21:00,PST,2.13,17.1,10.6,7.1,0
USGS,14206950,11/4/2015 21:15,PST,2.13,17.1,,,0
USGS,14206950,11/4/2015 21:30,PST,2.13,17.1,,,0
USGS,14206950,11/4/2015 21:45,PST,2.12,16.6,,,0
USGS,14206950,11/4/2015 22:00,PST,2.12,16.6,10.6,7.3,0
USGS,14206950,11/4/2015 22:15,PST,2.12,16.6,,,0
USGS,14206950,11/4/2015 22:30,PST,2.11,16.2,,,0
USGS,14206950,11/4/2015 22:45,PST,2.11,16.2,,,0
USGS,14206950,11/4/2015 23:00,PST,2.11,16.2,10.6,7.2,0
USGS,14206950,11/4/2015 23:15,PST,2.11,16.2,,,0
USGS,14206950,11/4/2015 23:30,PST,2.1,15.7,,,0
USGS,14206950,11/4/2015 23:45,PST,2.1,15.7,,,0
USGS,14206950,11/5/2015 0:00,PST,2.1,15.7,10.6,7.5,0
USGS,14206950,11/5/2015 0:15,PST,2.09,15.3,,,0
USGS,14206950,11/5/2015 0:30,PST,2.09,15.3,,,0
USGS,14206950,11/5/2015 0:45,PST,2.09,15.3,,,0
USGS,14206950,11/5/2015 1:00,PST,2.09,15.3,10.5,7.6,0
USGS,14206950,11/5/2015 1:15,PST,2.09,15.3,,,0
USGS,14206950,11/5/2015 1:30,PST,2.08,14.8,,,0
USGS,14206950,11/5/2015 1:45,PST,2.08,14.8,,,0
